Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,1.5,4.957115045,4,39.16993831,20.39259675,33.35950645,7.077958497,1.096410213,398.4671967,0,1000,2,5,0,0.5,0.5,177.8,0,1.186251652,7.3,59.51249,82.86004,89.82734,94.32054,37.38777,-0.8,-0.69,0.69,94.32054,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.7,11,3,55.4,28,10.7,5.97,0.996860161,383.5084337,0,700,1,5.431494146,0,0.5,0.368741556,177.8,0,1,7.3,1.66129,5.56977,9.30583,26.03185,32.75675,-0.9,-0.79,0.79,32.75675,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.7,5.6,3,54.7,28.7,12.1,4.4,1.005647917,454.422902,0,800,1,5.676494715,0,0.5,0.425002936,177.8,0,1,7.3,8.21375,19.47939,31.20485,35.11334,36.66524,-0.9,-0.79,0.79,36.66524,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.6,3.9,3,52.4,35.1,10.4,2.2,1.18,901.574345,0,900,1,4.811418443,0,0.5,0.603540682,177.8,0,1,7.3,12.12224,43.70626,67.61701,90.14828,86.84331,-0.8,-0.69,0.69,90.14828,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,3,5.3,3,51.2,37.3,8.2,3.4,1.029924006,531.4776239,0,1000,1,5.813577936,0,0.5,0.405760796,177.8,0,1,7.3,2.43724,8.9897,28.70457,51.66693,53.07513,-0.9,-0.79,0.79,53.07513,0,0,1
none,0,0,0,0,0,0,0,0,0,0,0,1,0,10.2,0,54,20,21,5,1.1,655.2118618,0,900,2.352546641,4.372925398,0,0.5,1,127,1,1,7.2,14.26891,24.41526,42.52424,52.96353,42.39108,-0.8,-0.69,0.69,52.96353,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,5,8.4,4,49,19,23,9,1.12,724.774937,0,900,2.174619654,4.943338371,0,0.5,1,127,1,1,7.2,48.88901,85.69285,95.8392,96.71802,94.24135,-0.8,-0.69,0.69,96.71802,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,4.7,6.7,4,56,20,18,6,1.1,825.7289563,0,900,1.967713969,4.933231485,0,0.5,1,127,1,1,7.2,62.36422,50.19392,31.95179,17.8907,10.22102,-0.5,-0.39,0.39,62.36422,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,4.8,7.9,4,54,20,21,5,1.12,709.5907472,0,900,2.132033779,4.94539236,0,0.5,1,127,1,1,7.2,56.71848,83.24281,90.77934,89.47443,87.42385,-0.7,-0.59,0.59,90.77934,1,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,2.17,0,30.59639,20.66434,38.29846,10.44081,1.237721561,993.7527585,0,900,5,4.267036846,0,0.5,0.6,177.8,1,1,7.65,87.39,93.68,70.38,53.76,35.73,-0.55,-0.44,0.44,87.82384,0,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,2.07,0,25.5336,23.72945,42.83794,7.80248,1.16,960.9972491,0,1000,5,4.609766868,0,0.5,0.6,177.8,1,1,7.65,94.89,95.58,84.54,68.12,51.49,-0.55,-0.44,0.44,98.15,1,1,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,1.63,0,18.35533,24.15624,40.82039,16.66804,1.143549843,652.8723751,0,1100,5,4.628676615,0,0.5,0.6,177.8,1,1,7.65,72.9,64.91,49.56,35.13,26.68,-0.45,-0.34,0.34,74.83894,0,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,2.11,0,28.48,40.19,18.97,12.34,1.126126498,975.5559019,0,1000,3,4.871575709,0,0.5,0.6,177.8,1,1,7.65,89.8,87.91,77.57,60.3,44.26,-0.55,-0.44,0.44,90.44368,1,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,2.03,0,16.55,35.44,33.33,15.29,1.188026372,779.3888711,0,1000,7,4.458864972,0,0.5,0.6,177.8,1,1,7.65,91.57,88.39,76.78,60.62,42.75,-0.55,-0.44,0.44,92.94063,1,0,0
